scenario,seed,requested_total_cycles,addr_width,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,fixed_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,5,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,455,455,2082,15,42,0,0,254655,63943,509,127,0
upsets,6,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,247,63232,444,444,2594,16,0,0,0,253619,63676,507,127,0
upsets,6,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,463,463,2405,11,1295,0,0,283363,71119,566,142,0
upsets,6,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,449,449,2630,12,42,0,0,254649,63937,509,127,0
upsets,7,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,247,63232,467,467,1672,8,0,0,0,253642,63699,507,127,0
upsets,7,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,472,472,1560,8,1295,0,0,283372,71128,566,142,0
upsets,7,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,464,464,1934,10,42,0,0,254664,63952,509,127,0
upsets,8,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,247,63232,448,448,2226,12,0,0,0,253623,63680,507,127,0
upsets,8,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,453,453,2228,12,1295,0,0,283353,71109,566,142,0
upsets,8,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,453,453,2057,13,42,0,0,254653,63941,509,127,0
upsets,9,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,247,63232,453,453,1796,13,0,0,0,253628,63685,507,127,0
upsets,9,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,459,459,1675,12,1295,0,0,283359,71115,566,142,0
upsets,9,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,459,459,1512,12,42,0,0,254659,63947,509,127,0
upsets,10,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,247,63232,449,449,2315,18,0,0,0,253624,63681,507,127,0
upsets,10,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,459,459,1788,10,1295,0,0,283359,71115,566,142,0
upsets,10,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_2021.csv,0,2021,2021,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,455,455,1937,14,42,0,0,254655,63943,509,127,0
